time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/loss,train/approx_kl,train/entropy_loss,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/learning_rate,train/value_loss
92,376832,1225.0,4.34967826,291,1293,-0.023610033094882965,0.006330224,-0.2875336784869432,0.0603515625,0.2,-0.012944067499483935,910,0.9959494,0.0003,5.596627147497202e-05
93,380928,1225.0,4.39001131,294,1291,-0.018623003736138344,0.0041815164,-0.28138505574315786,0.0474609375,0.2,-0.011477941554039717,920,0.996546,0.0003,4.626224681487656e-05
94,385024,1225.0,4.44337147,298,1289,-0.014178803190588951,0.004260749,-0.287425222620368,0.03818359375,0.2,-0.011565530743973795,930,0.9958178,0.0003,5.881858046450361e-05
95,389120,1225.0,4.48832092,302,1287,-0.013234191574156284,0.004938403,-0.27490505278110505,0.0490234375,0.2,-0.010882540978491307,940,0.996201,0.0003,4.761921272802283e-05
96,393216,1225.0,4.52550033,305,1286,-0.017560463398694992,0.0041402625,-0.2754861431196332,0.0444580078125,0.2,-0.011315879184985533,950,0.9968084,0.0003,4.762099115396268e-05
97,397312,1225.0,4.57645209,308,1287,-0.020336313173174858,0.005030968,-0.27503322027623656,0.0446044921875,0.2,-0.011575213677133434,960,0.9967528,0.0003,4.523769739535055e-05
98,401408,1225.0,4.6166554,311,1286,-0.012314020656049252,0.0048778644,-0.2668842287734151,0.0470458984375,0.2,-0.01151897271629423,970,0.99735725,0.0003,3.6899663314216014e-05
99,405504,1225.0,4.66171829,315,1286,-0.022440187633037567,0.0040528616,-0.2720791772007942,0.0392333984375,0.2,-0.011248968563450035,980,0.99697447,0.0003,4.803176020686806e-05
100,409600,1225.0,4.699039609999999,318,1286,-0.020982371643185616,0.0041948194,-0.2648780524730682,0.0388671875,0.2,-0.0099950430507306,990,0.9975979,0.0003,3.43388065630279e-05
101,413696,1225.0,4.728532179999999,321,1286,-0.023105693981051445,0.0036902195,-0.25295105166733267,0.03798828125,0.2,-0.010551686747930944,1000,0.9974555,0.0003,3.978729332629882e-05
102,417792,1225.0,4.77778296,324,1286,-0.017856702208518982,0.0035621186,-0.2603718899190426,0.0354248046875,0.2,-0.009914907487109303,1010,0.9965805,0.0003,5.639734326905455e-05
103,421888,1225.0,4.81075476,327,1287,-0.01712874323129654,0.004485605,-0.25593330785632135,0.0409912109375,0.2,-0.011220776505069807,1020,0.9973793,0.0003,3.628216989000066e-05
104,425984,1225.0,4.8460753,330,1287,-0.01633870229125023,0.004159948,-0.2395217027515173,0.03740234375,0.2,-0.010568207511096262,1030,0.9976315,0.0003,3.793616131133604e-05
105,430080,1225.0,4.89016951,334,1287,-0.01596975140273571,0.0034636082,-0.24663355443626642,0.034375,0.2,-0.009613577723212075,1040,0.997701,0.0003,3.141921679343796e-05
106,434176,1225.0,4.922507550000001,337,1287,-0.013177093118429184,0.004158469,-0.2416255585849285,0.03984375,0.2,-0.011436396936187521,1050,0.99799,0.0003,2.7433668674348154e-05
107,438272,1225.0,4.95533708,340,1288,-0.014350011013448238,0.0038189327,-0.23189429976046086,0.035791015625,0.2,-0.009966031776275485,1060,0.99783504,0.0003,3.3219094461856e-05
