rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,train/value_loss,train/clip_fraction,train/n_updates,train/clip_range,train/loss,train/learning_rate
2482.0,81,3.4050657199999996,1830,181,331776,-0.008805411618959624,-0.3511833496391773,0.004840905,0.9312836,0.0015986574173439295,0.047607421875,800,0.2,-0.013241824693977833,0.0003
2482.0,82,3.4896475899999997,1830,183,335872,-0.00797919817850925,-0.35769068375229834,0.00432714,0.9289197,0.0016870493796886875,0.045751953125,810,0.2,-0.009999694302678108,0.0003
2482.0,83,3.5194094799999998,1830,185,339968,-0.008321348222671077,-0.36093902215361595,0.0053619314,0.90826136,0.001484351372346282,0.04736328125,820,0.2,-0.017197230830788612,0.0003
2482.0,84,3.5864136700000007,1830,187,344064,-0.006203051912598312,-0.3458006754517555,0.0041622883,0.9401705,0.0014747222492587752,0.0321044921875,830,0.2,-0.014360346831381321,0.0003
2482.0,85,3.64493659,1830,190,348160,-0.00774476648948621,-0.3584240090101957,0.0050467877,0.92598873,0.0017919679536134935,0.0431640625,840,0.2,-0.012490060180425644,0.0003
2482.0,86,3.67951436,1830,192,352256,-0.008391403430141508,-0.35238900408148766,0.0047106706,0.9267531,0.0013783147878712043,0.0438232421875,850,0.2,-0.012191645801067352,0.0003
2482.0,87,3.7295698999999995,1830,194,356352,-0.0077615621383301915,-0.3371808402240276,0.003923162,0.94315696,0.0014384048045030795,0.03896484375,860,0.2,-0.012078561820089817,0.0003
2482.0,88,3.78559734,1830,196,360448,-0.008522140042623505,-0.3418069135397673,0.0050333217,0.9351699,0.0016407188319135456,0.0480712890625,870,0.2,-0.010163579136133194,0.0003
2482.0,89,3.80799532,1830,199,364544,-0.0076986634907370895,-0.33542332164943217,0.004162545,0.9295246,0.0013226413488155232,0.0423095703125,880,0.2,-0.018229171633720398,0.0003
2482.0,90,3.8790000399999998,1829,201,368640,-0.00699519626214169,-0.32252185940742495,0.005056116,0.9462877,0.00139335273852339,0.040966796875,890,0.2,-0.006343548186123371,0.0003
2482.0,91,3.931560699999999,1829,203,372736,-0.008078158262651413,-0.3351665444672108,0.0045170216,0.93931025,0.001568595263233874,0.0387939453125,900,0.2,-0.010318698361515999,0.0003
2482.0,92,3.96388912,1829,205,376832,-0.008420565776759759,-0.3316959600895643,0.0049540326,0.93909883,0.0012242475080711302,0.047119140625,910,0.2,-0.015643097460269928,0.0003
2482.0,93,4.013373720000001,1829,208,380928,-0.009112283962895162,-0.32370455265045167,0.0049886983,0.951313,0.001283928744669538,0.04736328125,920,0.2,-0.021613935008645058,0.0003
2482.0,94,4.06546036,1828,210,385024,-0.006798500557488296,-0.33120368644595144,0.0038168982,0.9406795,0.0015108577863429673,0.0361572265625,930,0.2,-0.005808988120406866,0.0003
2482.0,95,4.09553722,1827,212,389120,-0.008522344165248797,-0.31744246929883957,0.0057362476,0.9448757,0.0011324673068884294,0.04853515625,940,0.2,-0.014213543385267258,0.0003
2482.0,96,4.1455129799999995,1827,215,393216,-0.0071570721105672416,-0.30935128703713416,0.004547643,0.95073724,0.0013900287056458182,0.0394775390625,950,0.2,-0.010837588459253311,0.0003
2482.0,97,4.21095216,1826,217,397312,-0.007397089924779721,-0.315857807174325,0.0043943007,0.9422011,0.0013337647367734462,0.04111328125,960,0.2,-0.016478529199957848,0.0003
2482.0,98,4.241261010000001,1826,219,401408,-0.008498791613965296,-0.30728279538452624,0.004320926,0.96215993,0.000937586446525529,0.044482421875,970,0.2,-0.0118030346930027,0.0003
2482.0,99,4.292987050000001,1826,222,405504,-0.007631835338543169,-0.3148472897708416,0.004980354,0.9591428,0.0011669915751554073,0.042578125,980,0.2,-0.007195496000349522,0.0003
2482.0,100,4.34989801,1826,224,409600,-0.008241281055961735,-0.32397610805928706,0.0050475653,0.94422776,0.0010454269853653387,0.047119140625,990,0.2,-0.014244848862290382,0.0003
