rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/learning_rate,train/explained_variance,train/approx_kl,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/loss
1.0177923199999999,2231.23,473088,1178,28,145,0.0001,0.3120616,0.0012286189,0.002147877004851277,0.2,0.0007161458333333333,760,-0.8067018250624339,-0.0023047051625326278,-0.007443362381309271
1.03453868,2231.21,479232,1180,29,150,0.0001,0.3764519,0.0014751535,0.002606105412511776,0.2,0.0019694010416666666,770,-0.7977054566144943,-0.0026079670642502606,-0.01132724154740572
1.06445058,2231.18,485376,1181,30,155,0.0001,0.4368922,0.0013128066,0.0026186496213388938,0.2,0.0006673177083333333,780,-0.7930078615744909,-0.002541570181104665,-0.010400381870567799
1.07489339,2231.15,491520,1182,31,161,0.0001,0.45192713,0.0024073462,0.0028187598179404932,0.2,0.004833984375,790,-0.7870520850022634,-0.003257654405509432,-0.014842656441032887
1.1017291900000001,2231.12,497664,1177,32,166,0.0001,0.4353757,0.0016008066,0.0020884443617736298,0.2,0.0027180989583333332,800,-0.7840917319059372,-0.0029072049190290274,-0.011820761486887932
1.11005264,2231.1,503808,1172,33,172,0.0001,0.4739114,0.0014710155,0.003151333269973596,0.2,0.0009602864583333333,810,-0.7713674565156301,-0.0021569788300742705,-0.0069549535401165485
1.13923106,2231.07,509952,1170,34,178,0.0001,0.52387726,0.0016150916,0.0023969871962132554,0.2,0.0017903645833333333,820,-0.7692119548718135,-0.002613090347343435,-0.008480586111545563
1.1503428799999997,2231.04,516096,1168,35,183,0.0001,0.49524295,0.0010246721,0.003558548792110135,0.2,0.0013834635416666667,830,-0.769551490743955,-0.0021690322551876306,-0.008784865960478783
1.1661390900000002,2231.01,522240,1170,36,189,0.0001,0.5030184,0.0019518783,0.0023530668035770456,0.2,0.00244140625,840,-0.7631181548039119,-0.0024259336253938577,-0.008266210556030273
1.19364884,2231.0,528384,1169,37,194,0.0001,0.5403924,0.0012516429,0.002799956267699599,0.2,0.0014322916666666666,850,-0.7486738493045171,-0.002246748642452682,-0.007599995471537113
1.2582560999999999,2231.0,534528,1169,38,199,0.0001,0.51938486,0.0008761557,0.0033642922489282986,0.2,0.0005696614583333334,860,-0.7452657918135325,-0.001691802975255996,-0.008029947057366371
1.3239928,2231.0,540672,1170,39,204,0.0001,0.5362298,0.0010196071,0.0033987561822868884,0.2,0.0008951822916666666,870,-0.7374940226475398,-0.0018922819018674395,-0.005840882658958435
1.3794339199999999,2231.0,546816,1168,40,210,0.0001,0.51659715,0.0016973634,0.002638123620999977,0.2,0.0014322916666666666,880,-0.7369837393363317,-0.0027762668440118434,-0.007425852119922638
1.4252420799999999,2231.0,552960,1170,41,215,0.0001,0.5467548,0.0015731823,0.003005525302918007,0.2,0.0021484375,890,-0.7297838280598322,-0.003095024498179555,-0.008981955237686634
1.4969723099999999,2231.0,559104,1170,42,220,0.0001,0.5852294,0.0010201382,0.002990643447265029,0.2,0.00048828125,900,-0.7307881693045298,-0.001779368285012121,-0.009026343002915382
1.55343103,2231.0,565248,1171,43,225,0.0001,0.59507036,0.0013711873,0.0030242256335138032,0.2,0.000634765625,910,-0.7261996159950892,-0.0016877717105671763,-0.004203274380415678
1.61166324,2231.0,571392,1172,44,230,0.0001,0.5729211,0.0028924607,0.002646728290710598,0.2,0.008268229166666667,920,-0.7151493201653163,-0.0033503832237329334,-0.011648204177618027
1.6446201100000004,2231.0,577536,1171,45,236,0.0001,0.5912739,0.0015541882,0.00339806069387123,0.2,0.002018229166666667,930,-0.6979201098283132,-0.002756450336892158,-0.008025345392525196
1.7102605400000002,2231.0,583680,1171,46,241,0.0001,0.60075825,0.0021198133,0.003269251695989321,0.2,0.004150390625,940,-0.6942143927017848,-0.0027041323075536637,-0.007130778860300779
1.768654,2231.0,589824,1172,47,246,0.0001,0.6051245,0.0023048588,0.0033476465847343206,0.2,0.0055501302083333336,950,-0.679740579922994,-0.0031858800056700906,-0.012077784165740013
1.8109869799999998,2231.0,595968,1172,48,251,0.0001,0.5883627,0.0015399,0.0028011618802944818,0.2,0.0024088541666666668,960,-0.6666830251614253,-0.0025082719589894016,-0.009999488480389118
1.8440677600000002,2231.0,602112,1171,49,256,0.0001,0.63595045,0.0028426286,0.0028290780377574266,0.2,0.007112630208333333,970,-0.6604442656040191,-0.0031925740845811863,-0.013330621644854546
